first_name,second_name,team_name,position,total_points,goals_scored,assists,minutes,now_cost
Harrison,Reed,Fulham,Midfielder,4,0,0,42,49
Antonee,Robinson,Fulham,Defender,24,0,2,540,47
Jay,Stansfield,Fulham,Forward,1,0,0,1,50
Kenny,Tete,Fulham,Defender,14,0,0,540,45
Carlos Vinícius,Alves Morais,Fulham,Forward,0,0,0,0,50
Harry,Wilson,Fulham,Midfielder,2,0,0,36,53
Ryan,Sessegnon,Fulham,Defender,0,0,0,0,43
Jorge,Cuenca Barreno,Fulham,Defender,0,0,0,0,44
Josh,King,Fulham,Midfielder,0,0,0,0,45
Martial,Godo,Fulham,Midfielder,0,0,0,0,45
Sander,Berge,Fulham,Midfielder,4,0,0,108,50
Ali,Al-Hamadi,Ipswich,Forward,1,0,0,32,49
Elkan,Baggott,Ipswich,Defender,0,0,0,0,40
Nathan,Broadhead,Ipswich,Midfielder,0,0,0,0,49
Cameron,Burgess,Ipswich,Defender,0,0,0,0,40
Wes,Burns,Ipswich,Midfielder,4,0,0,208,49
Conor,Chaplin,Ipswich,Midfielder,6,0,0,89,52
Harry,Clarke,Ipswich,Defender,0,0,0,0,40
Leif,Davis,Ipswich,Defender,18,0,1,540,45
Liam,Delap,Ipswich,Forward,25,3,0,455,55
George,Edmundson,Ipswich,Defender,1,0,0,1,40
Jacob,Greaves,Ipswich,Defender,11,0,0,540,40
Marcus,Myers-Harness,Ipswich,Midfielder,2,0,0,43,49
George,Hirst,Ipswich,Forward,3,0,0,49,54
Cameron,Humphreys,Ipswich,Midfielder,0,0,0,0,45
Omari,Giraud-Hutchinson,Ipswich,Midfielder,14,0,1,532,53
Ben,Johnson,Ipswich,Defender,4,0,1,131,40
Freddie,Ladapo,Ipswich,Forward,0,0,0,0,45
Massimo,Luongo,Ipswich,Midfielder,6,0,0,142,45
Sam,Morsy,Ipswich,Midfielder,16,1,0,533,49
Corrie,Ndaba,Ipswich,Defender,0,0,0,0,40
Cieran,Slicker,Ipswich,Goalkeeper,0,0,0,0,40
Jack,Taylor,Ipswich,Midfielder,3,0,0,93,49
Axel,Tuanzebe,Ipswich,Defender,11,0,0,512,40
Christian,Walton,Ipswich,Goalkeeper,2,0,0,90,44
Luke,Woolfenden,Ipswich,Defender,2,0,0,270,40
Kalvin,Phillips,Ipswich,Midfielder,6,0,0,227,49
Arijanet,Muric,Ipswich,Goalkeeper,17,0,0,450,44
Conor,Townsend,Ipswich,Defender,0,0,0,0,40
Sam,Szmodics,Ipswich,Midfielder,13,1,0,286,59
Jens,Cajuste,Ipswich,Midfielder,3,0,0,80,45
Dara,O'Shea,Ipswich,Defender,9,0,0,270,40
Jack,Clarke,Ipswich,Midfielder,8,0,1,159,55
Chiedozie,Ogbene,Ipswich,Midfielder,5,0,0,186,50
Facundo,Buonanotte,Leicester,Midfielder,17,1,2,288,50
Jordan,Ayew,Leicester,Midfielder,7,0,0,290,52
Odsonne,Edouard,Leicester,Forward,5,0,0,123,54
Boubakary,Soumaré,Leicester,Midfielder,1,0,0,11,45
Tom,Cannon,Leicester,Forward,0,0,0,0,45
Hamza,Choudhury,Leicester,Midfielder,1,0,0,14,44
Conor,Coady,Leicester,Defender,0,0,0,7,40
Patson,Daka,Leicester,Forward,0,0,0,0,49
Bobby,De Cordova-Reid,Leicester,Midfielder,6,0,0,149,53
Wout,Faes,Leicester,Defender,12,1,0,540,41
Michael,Golding,Leicester,Midfielder,0,0,0,0,45
Mads,Hermansen,Leicester,Goalkeeper,15,0,0,540,45
Daniel,Iversen,Leicester,Goalkeeper,0,0,0,0,40
James,Justin,Leicester,Defender,19,2,0,540,45
Victor,Kristiansen,Leicester,Defender,6,0,0,534,45
Wanya,Marçal-Madivádua,Leicester,Midfielder,0,0,0,0,45
Stephy,Mavididi,Leicester,Midfielder,22,2,0,303,53
Kasey,McAteer,Leicester,Midfielder,3,0,0,10,48
Wilfred,Ndidi,Leicester,Midfielder,21,0,4,523,50
Caleb,Okoli,Leicester,Defender,4,0,0,360,40
Ricardo,Barbosa Pereira,Leicester,Defender,0,0,0,0,43
Harry,Souttar,Leicester,Defender,0,0,0,0,40
Jakub,Stolarczyk,Leicester,Goalkeeper,0,0,0,0,40
Luke,Thomas,Leicester,Defender,0,0,0,0,40
Jamie,Vardy,Leicester,Forward,22,2,0,500,57
Jannik,Vestergaard,Leicester,Defender,2,0,0,180,40
Danny,Ward,Leicester,Goalkeeper,0,0,0,0,40
Harry,Winks,Leicester,Midfielder,11,0,0,540,45
Oliver,Skipp,Leicester,Midfielder,5,0,0,266,49
Abdul,Fatawu,Leicester,Midfielder,15,0,1,267,55
Will,Alves,Leicester,Midfielder,0,0,0,0,45
Ben,Nelson,Leicester,Defender,0,0,0,0,40
Bilal,El Khannouss,Leicester,Midfielder,3,0,0,78,50
Alisson,Ramses Becker,Liverpool,Goalkeeper,25,0,0,450,55
Trent,Alexander-Arnold,Liverpool,Defender,33,0,1,492,71
Stefan,Bajčetić Maquieira,Liverpool,Midfielder,0,0,0,0,45
Conor,Bradley,Liverpool,Defender,4,0,0,75,48
Bobby,Clark,Liverpool,Midfielder,0,0,0,0,45
Darwin,Núñez Ribeiro,Liverpool,Forward,9,1,0,133,72
Diogo,Teixeira da Silva,Liverpool,Midfielder,26,1,3,373,75
Ben,Doak,Liverpool,Midfielder,0,0,0,0,45
Harvey,Elliott,Liverpool,Midfielder,1,0,0,7,52
Endo,Wataru,Liverpool,Midfielder,1,0,0,1,48
Cody,Gakpo,Liverpool,Forward,5,0,0,117,71
Joe,Gomez,Liverpool,Defender,1,0,0,1,48
Ryan,Gravenberch,Liverpool,Midfielder,15,0,0,540,50
Curtis,Jones,Liverpool,Midfielder,3,0,0,61,53
Caoimhin,Kelleher,Liverpool,Goalkeeper,9,0,0,90,44
Ibrahima,Konaté,Liverpool,Defender,31,1,1,479,52
Luis,Díaz,Liverpool,Midfielder,53,5,1,429,80
Mohamed,Salah,Liverpool,Midfielder,59,4,4,532,128
Alexis,Mac Allister,Liverpool,Midfielder,15,0,0,509,63
James,McConnell,Liverpool,Midfielder,0,0,0,0,45
Tyler,Morton,Liverpool,Midfielder,0,0,0,0,45
Nathaniel,Phillips,Liverpool,Defender,0,0,0,0,40
Jarell,Quansah,Liverpool,Defender,1,0,0,45,41
Rhys,Williams,Liverpool,Defender,0,0,0,0,40
Andrew,Robertson,Liverpool,Defender,27,0,0,502,60
Dominik,Szoboszlai,Liverpool,Midfielder,21,0,2,492,65
Konstantinos,Tsimikas,Liverpool,Defender,3,0,0,33,47
Virgil,van Dijk,Liverpool,Defender,28,0,0,540,60
Federico,Chiesa,Liverpool,Midfielder,1,0,0,18,70
Vítezslav,Jaros,Liverpool,Goalkeeper,0,0,0,0,40
Manuel,Akanji,Man City,Defender,14,0,0,540,55
Nathan,Aké,Man City,Defender,1,0,0,2,53
Bernardo,Veiga de Carvalho e Silva,Man City,Midfielder,19,0,2,456,65
Oscar,Bobb,Man City,Midfielder,0,0,0,0,48
Scott,Carson,Man City,Goalkeeper,0,0,0,0,40
Kevin,De Bruyne,Man City,Midfielder,18,1,1,356,95
Jérémy,Doku,Man City,Midfielder,10,0,0,305,64
Ederson,Santana de Moraes,Man City,Goalkeeper,21,0,1,540,55
Phil,Foden,Man City,Midfielder,3,0,0,89,92
Jack,Grealish,Man City,Midfielder,12,0,1,265,64
Joško,Gvardiol,Man City,Defender,22,1,0,492,59
Erling,Haaland,Man City,Forward,65,10,0,539,153
Julián,Álvarez,Man City,Forward,0,0,0,0,70
João,Cavaco Cancelo,Man City,Defender,0,0,0,0,53
Mateo,Kovačić,Man City,Midfielder,21,1,1,433,55
Rico,Lewis,Man City,Defender,17,0,1,395,47
Matheus Luiz,Nunes,Man City,Midfielder,6,0,1,20,49
James,McAtee,Man City,Midfielder,1,0,0,1,48
Stefan,Ortega Moreno,Man City,Goalkeeper,0,0,0,0,53
Rodrigo 'Rodri',Hernandez,Man City,Midfielder,2,0,0,65,63
Rúben,Gato Alves Dias,Man City,Defender,9,0,0,456,55
John,Stones,Man City,Defender,9,1,0,135,53
Kyle,Walker,Man City,Defender,6,0,0,259,53
Sávio 'Savinho',Moreira de Oliveira,Man City,Midfielder,19,0,3,291,65
Nico,O'Reilly,Man City,Midfielder,0,0,0,0,50
Ilkay,Gündogan,Man City,Midfielder,8,0,0,286,65
Issa,Kaboré,Man City,Defender,0,0,0,0,45
Amad,Diallo,Man Utd,Midfielder,20,1,1,340,50
Antony Matheus,dos Santos,Man Utd,Midfielder,1,0,0,1,58
Bruno,Borges Fernandes,Man Utd,Midfielder,13,0,1,479,82
